Race,RaceDate,RaceTime,Racecourse,RaceDistance,Jockey,Trainer,Horse,FinishingPosition,DistanceBeaten,TimeBeaten
"THE UNIBET SUPPORTS SAFE GAMBLING ""HANDS AND HEELS"" APPRENTICEHANDICAP STAKES (CLASS 5)(Part of Racing Excellence)",5/29/2024,1742,Kempton Park,1760,Dominique van der Kraats,Kevin Philippart de Foy,Kynsa (IRE),1,0,0
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,Daniel Muscutt,James Ferguson,Khutulun (GB),1,0,0
THE GET RACEDAY READY MAIDEN STAKES (CLASS 4) (GBB RACE),10/10/2024,1830,Southwell,1554,James Doyle,Roger Varian,Trident (IRE),1,0,0
"THE TATTERSALLS #40,000 EBF NOVICE STAKES (CLASS 2) (GBB RACE)",5/5/2024,1650,Newmarket,1100,Sean Levey,Richard Hannon,The Actor (IRE),1,0,0
THE EVERY RACE LIVE ON RACING TV HANDICAP STAKES (CLASS 6),7/18/2024,1450,Hamilton Park,1326,Rhys Elliott,David Thompson,Stormy Pearl (GB),1,0,0
THE GO RACING IN YORKSHIRE FUTURE STARS APPRENTICE HANDICAPSTAKES (CLASS 5),10/19/2024,1330,Catterick Bridge,3052,Joe Leavy,Patrick Neville,Morandi Second (FR),1,0,0
THE FIND MORE BIG DEALS AT BETUK HANDICAP STAKES (CLASS 6) (DIV I),1/11/2024,1515,Southwell,3101,Ben Robinson,Brian Ellison,King Viktor (GB),1,0,0
THE EVERY RACE LIVE ON RACING TV HANDICAP STAKES (CLASS 6),7/18/2024,1450,Hamilton Park,1326,Andrew Mullen,Iain Jardine,The Gay Blade (GB),1,0,0
THE EDINBURGH GIN JUMP JOCKEYS CHALLENGE HANDICAP STAKES (CLASS4)(to be ridden by professional jump jockeys) (DIV I),9/14/2024,1715,Chester,2703,Ben Ffrench Davis,Dominic Ffrench Davis,Ithaca's Arrow (GB),1,0,0
THE BETSI MAIDEN STAKES (CLASS 5) (GBB RACE),2/22/2024,1405,Chelmsford City,1540,Luke Catton,Stuart Williams,Ribal (GB),1,0,0
THE WEATHERBYS STALLION BOOK HANDICAP STAKES (CLASS 6),8/17/2024,1912,Bath,1260,Kaiya Fraser,Michael Attwater,Thismydream (IRE),1,0,0
THE GET RACEDAY READY MAIDEN STAKES (CLASS 4) (GBB RACE),10/10/2024,1830,Southwell,1554,Daniel Muscutt,Charles Hills,Jodhpur Blue (FR),2,1.75,0.28
THE BETFAIR SAFER GAMBLING TOOLS NURSERY HANDICAP STAKES (CLASS6),9/28/2024,1650,Chelmsford City,1540,James Doyle,Joseph Parr,Ruby Rascal (GB),2,0.5,0.06
THE WEATHERBYS STALLION BOOK HANDICAP STAKES (CLASS 6),8/17/2024,1912,Bath,1260,George Bass,Jack Channon,Betweenthesticks (GB),2,0.25,0.03
THE BETSI MAIDEN STAKES (CLASS 5) (GBB RACE),2/22/2024,1405,Chelmsford City,1540,Hollie Doyle,George Boughey,Cocktail Dress (GB),2,0.1,0.01
"THE UNIBET SUPPORTS SAFE GAMBLING ""HANDS AND HEELS"" APPRENTICEHANDICAP STAKES (CLASS 5)(Part of Racing Excellence)",5/29/2024,1742,Kempton Park,1760,Ryan Kavanagh,Ian Williams,Ivasecret (IRE),2,1,0.16
THE GO RACING IN YORKSHIRE FUTURE STARS APPRENTICE HANDICAPSTAKES (CLASS 5),10/19/2024,1330,Catterick Bridge,3052,Sean Dylan Bowen,William Haggas,Molten Sea (GB),2,6.5,1.34
THE EDINBURGH GIN JUMP JOCKEYS CHALLENGE HANDICAP STAKES (CLASS4)(to be ridden by professional jump jockeys) (DIV I),9/14/2024,1715,Chester,2703,Daniel Muscutt,Karl Thornton,Grey Fable (IRE),2,3.25,0.62
THE FIND MORE BIG DEALS AT BETUK HANDICAP STAKES (CLASS 6) (DIV I),1/11/2024,1515,Southwell,3101,Alistair Rawlinson,Rebecca Menzies,Show No Fear (IRE),2,0.25,0.03
"THE TATTERSALLS #40,000 EBF NOVICE STAKES (CLASS 2) (GBB RACE)",5/5/2024,1650,Newmarket,1100,Oisin Murphy,Andrew Balding,Tropical Storm (GB),2,0.25,0.05
